"Key","Created","SP","Timespent","Title","Description"
"DM-228","2014/03/14 20:30:31","8.0","720.0","""Setup dev test environment""","""Setup whole Qserv environment, including installing data set, and validate it by running some simple queries. Suggest changes/improvements as appropriate."""
"DM-291","2014/03/21 18:02:36","10.0","240.0","""Investigate new XrdSsi interface""",""
"DM-702","2014/05/19 16:11:06","4.0","960.0","""Buildbot CI needs to save manifest file of failed build for later user debug""","""The manifest file created during a build instance is transient and removed as soon as the next build commences.  Due to that volatility, it's important to save the manifest to some well-known location so that the developer responsible for debug and repair can easily setup the failing environment. The location of the manifest file will be provided to the developer(s) in the failure notification."""
"DM-720","2014/05/21 13:30:01","20.0","2400.0","""Upgrade various external packages""","""I note that the LSST and HSC versions of external packages are slightly out of sync.  I propose uprevving the LSST packages to match as HSC has tested these versions.  {quote} cfitsio               3.360             HSC cfitsio               3310+2            sims Winter2014 current b4 b5 b6 b3 doxygen               1.8.2+2           sims b4 Winter2014 current b5 b6 b3 doxygen               1.8.5             HSC eigen                 3.1.1+2           Winter2014 current b5 b6 b3 b4 eigen                 3.2               HSC fftw                  3.3.2+2           Winter2014 current b5 b6 b3 b4 fftw                  3.3.3             HSC gsl                   1.15+2            Winter2014 current b5 b6 b3 b4 gsl                   1.16              HSC minuit2               5.22.00+2         Winter2014 current b5 b6 b3 b4 minuit2               5.28.00           HSC mysqlclient           5.1.65+3          Winter2014 current b5 b6 b3 b4 mysqlclient           5.1.73            HSC pyfits                3.1.2+2           sims b4 Winter2014 current b5 b6 b3 pyfits                3.2               HSC scons                 2.1.0+7           sims b4 Winter2014 current b5 b6 b3 scons                 2.3.0             HSC sqlite                3.7.14+2          Winter2014 current b5 b6 b3 b4 sqlite                3.8.2             HSC wcslib                4.14        wcslib                4.14+3            b4 Winter2014 current b5 b6 b3 xpa                   2.1.14+2          Winter2014 current b5 b6 b3 b4 xpa                   2.1.15            HSC {quote} """
"DM-875","2014/06/16 11:11:49","40.0","2400.0","""lsst_dm_stack_demo""","""lsst-dm_stack_demo has obsolete benchmark files (circa Release 7.0)  which fail to serve the purpose of validating, for the user, the correct functioning of a freshly built Release v8.0 stack.   At the very least,  the benchmark files should be regenerated for each official Release. Tasks:   (1) Build the benchmark files for Release v8.0  (2) Debate (a) recommending the  use of 'numdiff'  to check if the output is within realistic bounds.   Or, (b) develop another procedure to better show how the current algorithms compare to the algorithms used at the benchmarked Release. (3) Depending on result of the debate on #2: for: (a) provide appropriate 'numdiff' command invocation in manual.; for (b) implement the new procedure."""
"DM-951","2014/07/08 14:28:14","20.0","2400.0","""Add Doxygen documentation on rebuilds""","""Master-branch doxygen documentation should be rebuild on every full master build."""
"DM-956","2014/07/11 10:20:40","4.0","960.0","""Buildbot email should state if the build used master only or included other branches""","""Buildbot build status report currently doesn't state if the build was only for master or included other branches requested by the user."""
"DM-1018","2014/08/06 12:40:26","2.0","480.0","""Fix incorrect eupspkg config for astrometry_net""","""The clang patch from 8.0.0. version was (correctly) deleted. However, the patch identity was still left in the eupspkg config's protocol.  This will delete the last vestige of the formerly necessary clang patch."""
"DM-1241","2014/09/30 08:21:19","2.0","720.0","""Complete data entry of LSE-140 revised draft into EA""",""
"DM-1306","2014/10/06 02:13:06","2.0","60.0","""Pre-CCB review of LSE-140 docgen""",""
"DM-1358","2014/10/09 11:11:29","2.0","480.0","""End-to-end demo  fails to exit with the correct status  when Warning would be correct.""","""The output  of demo2012 results in an output file which is compared against a benchmarked file. Currently the comparison allows a deviation from the benchmark based """"on the the number of digits in the significands used in multiple precision arithmetic"""";  that  number is currently set to 11.  An example using that setting is: @ Absolute error = 5.9973406400e-1, Relative error = 9.1865836000e-4 ##2566    #:25  <== 29.7751550737 ##2566    #:25  ==> 29.7478269835  Additionally, the current use returns: a 'Fatal' error if the code itself fails to execute correctly; a """"Warning' error if the any of the benchmarked quantities do not meet the comparison criteria; 'Success' if the comparison meets all criteria.  It is noted that the buildbot 'Warning' color indicator is not currently being displayed when the comparison fails. That is a coding error.  This Issue will: * ensure that BUILDBOT_WARNING(S) causes the correct display color when appropriate.   This Ticket has been split into two parts. This is part 1.  Part 2 is DM-1379 """
"DM-3354","2015/07/31 13:46:06","2.0","480.0","""Read in the FITS cube that Herschel project produced""","""IRSA needs to be able to read in the FITS cube generated by Herschel project. We need to support and guide the effort so the code is generic enough for non-Herschel data. """
"DM-3414","2015/08/05 21:51:47","1.0","90.0","""Clarify status of LSE-77""","""Work on LSE-77 _per se_ appears not to have kept up with the status of the substance of the interface requirements, as represented in, for instance, LSE-239.  The action here is to see what change request actions may be appropriate for LSE-77 at this point."""
