"Key","Created","SP","Timespent","Title","Description"
"MDL-9469","2007/04/20 23:06:25","3.0","930.0","""Forum: Ability to export content at the end of the term""","""My faculty would really like the ability to export the content from each forum as a record of the """"conversation"""" from each term.  That way, we could keep it as an archive or as a record of the activity in the class."""
"MDL-36088","2012/10/17 13:39:37","40.0","945.0","""Adding/modifying questions to/in the question bank is not logged""","""Adding questions through a quiz is logged, but I found that the action of adding a question to the question bank is not logged.    *Replication steps:*  # Log in as a teacher  # Navigate to a course  # Navigate to Settings > Course admin > Question bank  # Create a new question  # Modify an existing question  # Navigate to Navigation > My courses > CourseXXX > Reports > Logs (or look in the log table in the DB)  # Click 'Get these logs'    _Expected result:_ Question bank changes should be shown    _Actual result:_ No entries for adding/modifying question bank questions are recorded    Full list of missing events in question bank:  - Creating a question  - updating a question (should also be triggered when question is moved to a new category)  - deleting a question  - Duplicating a question  - Updating a question category (should also be triggered when category is moved to another parent)  - deleting a question category  - Importing questions (separate event is optional but still requires question_created event for each individual question)  - Exporting questions (note: crud=r)    Oddly there is one existing event \core\event\question_category_created"""
"MDL-52052","2015/11/06 20:38:00","5.0","315.0","""Import grades with an empty identifier causes bad upload but it doesn't show error message""","""When import grades with a csv like this (line 2 with an empty email):    student-email;grade1  student1@testing-moodle-grades.com;5  ;7  student3@testing-moodle-grades.com;10    Moodle loads this:    student1@testing-moodle-grades.com -> 7  student2@testing-moodle-grades.com -> -  student3@testing-moodle-grades.com -> 10    student1 gets the grade in line 2 and no error message is shown. Says """"Grade import success"""".    If there are more students, the ones above the empty, take the grade of the student below.    Thank you."""
"MDL-54554","2016/05/12 23:12:49","5.0","365.0","""Improve error handling for unoconv (Universal Office Converter)""","""In lib/filestorage/file_storage.php the function create_converted_document is used to call unoconv via a PHP exec() call. The return value is not checked and the $output array is set but never used.     I don't know if the intention was to revisit this before release but as it stands any problem with unoconv is going to fail silently (nothing logged) which isn't a good thing.     In order to avoid meltdown in the support forums, this needs to be as robust as it possibly can be. """
"MDL-55192","2016/07/12 18:11:49","1.0","80.0","""Final deprecation of add_to_log()""","""It's been deprecated since 2.7. """
"MDL-56223","2016/10/01 08:42:20","3.0","3906.0","""CLI Calendar Event Updated/Created bug affecting database/logs""","""Moodle v3.0.3+ (Build: 20160324)    We were seeing some CPU spikes and overloaded php-fpm threads which seemed to be affecting one of our nodes making it unresponsive (we have 3).    Further research looks like it may be related to random calendar events in the logs. They are intermittent with approx 1071 transactions per second occurring intermittently (looks like about every hour and 15 mins).      They are always related to the same user with Calendar Event Updated/Created    User full name: Administrator  Affected user: name of one specific user  Event context: User: same user as above  Component: system  Event name: Calendar event updated/created  Origin: cli    Is this related to https://tracker.moodle.org/browse/MDL-46539 ?  """
"MDL-56789","2016/11/07 11:50:47","1.0","600.0","""Recycle bin warns of pending grade items being deleted even if no grade items are being deleted.""","""At the moment, when any module (or resource) is deleted (via the recycle bin) the gradebook will display a warning that grade items are pending deletion. This is regardless of whether the deleted item has any grade items to delete or even uses the gradebook."""
"MDL-57487","2016/12/21 18:19:23","1.0","405.0","""Final deprecation of xxx_print_overview() and related functions""","""These were deprecated in -MDL-57434- (please check the commit as a WS was also deprecated).    Also, please remove the strings from the activity modules that are only used by these deprecated functions."""
"MDL-57618","2017/01/11 11:57:01","1.0","210.0","""Remove strings deprecated in 3.3""","""Remove strings from language files under the heading """"Deprecated in Moodle 3.3"""" and the respective lines in deprecated.txt files    See also https://docs.moodle.org/dev/String_Deprecation  """
"MDL-57632","2017/01/12 14:25:07","1.0","80.0","""Final deprecation of media_manager::setup()""","""Final deprecation of media_manager::setup(). It was deprecated in MDL-57316"""
